frame,track_id,class,x1,y1,x2,y2,confidence
0,1,player,673.0,695.0,687.0,732.0,0.847
0,2,player,1100.0,612.0,1112.0,644.0,0.842
0,3,player,1269.0,567.0,1281.0,600.0,0.839
0,4,player,534.0,671.0,552.0,705.0,0.837
0,5,player,639.0,598.0,654.0,631.0,0.829
0,6,player,585.0,546.0,596.0,576.0,0.821
0,7,player,735.0,544.0,747.0,572.0,0.815
0,8,player,1087.0,701.0,1101.0,734.0,0.815
0,9,player,849.0,500.0,861.0,524.0,0.811
0,10,player,932.0,782.0,956.0,812.0,0.806
1,2,player,1099.0,610.0,1112.0,643.0,0.872
1,5,player,639.0,599.0,653.0,631.0,0.846
1,4,player,534.0,671.0,551.0,705.0,0.842
1,3,player,1269.0,567.0,1281.0,600.0,0.84
1,7,player,734.0,544.0,747.0,572.0,0.837
1,1,player,674.0,695.0,687.0,732.0,0.826
1,9,player,849.0,500.0,861.0,524.0,0.817
1,6,player,585.0,546.0,596.0,576.0,0.811
1,8,player,1087.0,701.0,1100.0,734.0,0.81
1,10,player,931.0,783.0,953.0,812.0,0.735
2,2,player,1098.0,611.0,1112.0,643.0,0.878
2,5,player,639.0,599.0,653.0,632.0,0.865
2,4,player,534.0,671.0,550.0,705.0,0.847
2,1,player,673.0,695.0,687.0,732.0,0.839
2,3,player,1269.0,567.0,1281.0,600.0,0.838
2,7,player,734.0,544.0,747.0,572.0,0.832
2,9,player,849.0,500.0,861.0,524.0,0.822
2,6,player,585.0,546.0,596.0,576.0,0.814
2,8,player,1087.0,701.0,1100.0,734.0,0.812
2,11,player,1088.0,543.0,1099.0,574.0,0.725
3,5,player,639.0,600.0,653.0,632.0,0.875
3,2,player,1096.0,613.0,1112.0,644.0,0.862
3,4,player,534.0,671.0,548.0,706.0,0.854
3,1,player,673.0,695.0,687.0,732.0,0.839
3,3,player,1269.0,567.0,1281.0,600.0,0.838
3,7,player,734.0,544.0,747.0,572.0,0.831
3,6,player,585.0,546.0,596.0,575.0,0.815
3,8,player,1087.0,701.0,1100.0,734.0,0.805
3,9,player,849.0,500.0,861.0,523.0,0.795
3,12,player,600.0,604.0,618.0,637.0,0.782
3,11,player,1088.0,543.0,1099.0,574.0,0.74
4,5,player,639.0,600.0,653.0,632.0,0.868
4,4,player,534.0,671.0,547.0,706.0,0.854
4,2,player,1096.0,614.0,1112.0,645.0,0.841
